Data Source,World Development Indicators,,Removed all years except indicated,,,,,,,
,,,,,,,,,,
Last Updated Date,6/30/21,,,,,,,,,
,,,,,,,,,,
Faroe Islands,FRO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
"Micronesia, Fed. Sts.",FSM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Gabon,GAB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,2331907.299,2540193.421,2454568.375,2455039.718,2435590.325,2377636.532,2432489.279
United Kingdom,GBR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,27858.07811,28441.40077,28800.0905,29038.88138,29703.51309,29873.98672,28952.65843
Georgia,GEO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,8332.748413,8742.333618,8903.068166,8937.528895,9328.608364,9886.686248,9021.828951
Ghana,GHA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4547.913541,4720.6929,4734.294558,4699.343476,4895.180616,5129.850035,4787.879188
Gibraltar,GIB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Guinea,GIN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,3979374.729,4102498.206,4225515.287,4555908.707,4950985.737,4958582.868,4462144.256
"Gambia, The",GMB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,24645.58611,23535.07057,23734.04919,23599.4758,24025.49313,25045.48954,24097.52739
Guinea-Bissau,GNB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,238268.2899,247450.0281,253551.0934,262979.6406,264737.4228,251229.2827,253035.9596
Equatorial Guinea,GNQ,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4584594.66,4491245.677,4625780.609,4213387.925,3601904.294,3294660.068,4135262.205
Greece,GRC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,16013.55433,16336.15997,16257.68535,16177.75766,16414.46506,16597.63606,16299.54307
Grenada,GRD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Greenland,GRL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Guatemala,GTM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,27032.21964,27665.76137,28373.13214,28717.52051,29143.22755,29649.46946,28430.22178
Guam,GUM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Guyana,GUY,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
High income,HIC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
"Hong Kong SAR, China",HKG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Honduras,HND,GNI per capita (constant LCU),NY.GNP.PCAP.KN,18915.08252,18938.10169,19506.36953,19877.44681,20673.13122,20780.47034,19781.76702
Heavily indebted poor countries (HIPC),HPC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Croatia,HRV,GNI per capita (constant LCU),NY.GNP.PCAP.KN,76617.15346,76603.28819,80297.58759,81680.09364,86860.01668,90099.62903,82026.29477
Haiti,HTI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,56619.46404,57778.12147,57887.61874,58151.34169,58746.7244,58911.00153,58015.71198
Hungary,HUN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,3171968.184,3263953.254,3389181.358,3543699.511,3654499.911,3868110.036,3481902.042
IBRD only,IBD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
IDA & IBRD total,IBT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
IDA total,IDA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
IDA blend,IDB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Indonesia,IDN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,31441962.43,32476664.57,33651194.03,34960833.63,36303827.19,37816243.34,34441787.53
