jour,citations,OAdes,OAlab,year,auth_count,Volume,Issue,apc_cat,AIS,JCR_quart,field
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,18,Other Gold,Other Gold,2013,2,438,2,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,7,Green Accepted,Green,2013,10,438,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,19,Other Gold,Other Gold,2013,4,438,2,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,27,Green Published,Green,2013,2,438,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,12,Green Accepted,Green,2013,7,438,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,20,Green Accepted,Green,2013,8,438,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Green Accepted,Green,2013,6,438,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,9,438,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,29,Green Accepted,Green,2013,3,438,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,33,Green Accepted,Green,2013,4,438,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,14,Other Gold,Other Gold,2013,7,438,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,17,Green Accepted,Green,2013,3,438,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Other Gold,Other Gold,2013,9,439,1,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,40,Green Accepted,Green,2013,10,439,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,108,Other Gold,Other Gold,2013,2,439,1,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,53,Green Accepted,Green,2013,6,439,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,42,Other Gold,Other Gold,2013,7,439,2,lowAPC,0.599,2,Biochemistry 
