"(Intercept)" "auth_count" "citations" "field" "IF_5Y_2019" "JIFquant" "journal" "OAlab" "publisher" "year" "df" "logLik" "AICc" "delta" "weight"
"33" 5.96874999995018 NA NA NA NA NA "+" NA NA NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"41" 2.48092042751015 NA NA NA 2.6953860680505 NA "+" NA NA NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"49" 5.96874999998151 NA NA NA NA "+" "+" NA NA NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"57" 2.4809204233247 NA NA NA 2.69538607104751 "+" "+" NA NA NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"161" 5.96874999995018 NA NA NA NA NA "+" NA "+" NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"169" 2.48092042751015 NA NA NA 2.6953860680505 NA "+" NA "+" NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"177" 5.96874999998151 NA NA NA NA "+" "+" NA "+" NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"185" 2.4809204233247 NA NA NA 2.69538607104751 "+" "+" NA "+" NA 162 -530149.760087378 1060623.86734348 23994.8638069045 0
"37" 11.2613857877116 NA NA "+" NA NA "+" NA NA NA 162 -530149.760087378 1060623.86734348 23994.863806905 0
"165" 11.2613857877116 NA NA "+" NA NA "+" NA "+" NA 162 -530149.760087378 1060623.86734348 23994.863806905 0
"53" 4.97919945816541 NA NA "+" NA "+" "+" NA NA NA 162 -530149.760087379 1060623.86734348 23994.8638069078 0
"181" 4.97919945816541 NA NA "+" NA "+" "+" NA "+" NA 162 -530149.760087379 1060623.86734348 23994.8638069078 0
"327" 3331.85403768503 NA 0.0034361580009865 "+" NA NA NA "+" NA -1.6466797255183 19 -530494.515685025 1061027.03636135 24398.0328247764 0
"449" 3444.21731110309 NA NA NA NA NA NA "+" "+" -1.70393990306383 33 -530540.554095327 1061147.12292947 24518.1193929019 0
"224" 5.50271618775777 0.100093277776515 0.00318098517804581 "+" 0.175689504012465 "+" NA "+" "+" NA 49 -530806.085435355 1061710.20305779 25081.1995212191 0
"331" 3408.6422174332 NA 0.00270492298358238 NA 0.52547629998371 NA NA "+" NA -1.68464333547195 9 -530882.757297403 1061783.51577688 25154.5122403062 0
"160" 4.54940168813668 0.098674034658702 0.00318894901466438 "+" 0.185062794885114 "+" NA NA "+" NA 45 -530915.279207616 1061920.58560931 25291.5820727432 0
"216" 5.78549255657727 0.104092684062125 0.00327633674597587 "+" NA "+" NA "+" "+" NA 48 -530990.130467311 1062076.29183402 25447.2882974446 0
"325" 3364.24472617004 NA NA "+" NA NA NA "+" NA -1.66271411652387 18 -531057.65125533 1062151.3070028 25522.3034662271 0
"152" 4.73213119481317 0.102603649424239 0.00329141316873637 "+" NA "+" NA NA "+" NA 44 -531120.785943645 1062329.59789885 25700.5943622789 0
"263" 3261.66088481017 NA 0.0034839359306835 "+" NA NA NA NA NA -1.61255933390099 15 -531219.328341596 1062468.65983551 25839.6562989363 0
"329" 3434.36411615171 NA NA NA 0.537031235155207 NA NA "+" NA -1.69739985389693 8 -531228.207466457 1062472.41587857 25843.4123419945 0
"223" 5.99752069925767 NA 0.00324150519243605 "+" 0.190832674834727 "+" NA "+" "+" NA 48 -531202.544481291 1062501.11986197 25872.1163254038 0
"220" 6.59953686873224 0.100575892384061 0.00316858669764855 NA 0.205566086582344 "+" NA "+" "+" NA 38 -531227.860594062 1062531.74065662 25902.7371200453 0
"222" 5.50220308787698 0.102391921583604 NA "+" 0.189402166664666 "+" NA "+" "+" NA 48 -531284.378540114 1062664.78797962 26035.7844430511 0
"159" 5.12286751476781 NA 0.00324787652321486 "+" 0.198917335969989 "+" NA NA "+" NA 44 -531301.145912118 1062690.3178358 26061.3142992256 0
"156" 5.72491844659423 0.101620184080992 0.00317326721410918 NA 0.220742272324151 "+" NA NA "+" NA 34 -531366.072506959 1062800.1606461 26171.1571095313 0
"158" 4.53700524742064 0.100943703690893 NA "+" 0.198977005709005 "+" NA NA "+" NA 44 -531395.297389075 1062878.62078971 26249.6172531403 0
"215" 6.32728094798885 NA 0.00334806899957512 "+" NA "+" NA "+" "+" NA 47 -531419.255872633 1062932.54138326 26303.5378466935 0
"214" 5.80774858247766 0.106788049802423 NA "+" NA "+" NA "+" "+" NA 47 -531497.392919978 1063088.81547795 26459.8119413829 0
"151" 5.34448516378756 NA 0.00336087086241781 "+" NA "+" NA NA "+" NA 43 -531538.03193298 1063162.08872129 26533.0851847178 0
"96" 4.96626323668833 0.101410996819584 0.00318834070587853 "+" 0.234237686986551 "+" NA "+" NA NA 23 -531581.592857109 1063209.19296493 26580.1894283551 0
"150" 4.7335200191511 0.105257603611155 NA "+" NA "+" NA NA "+" NA 43 -531631.898866295 1063349.82258792 26720.8190513477 0
"219" 6.99644164336336 NA 0.00322651361049525 NA 0.22451476505189 "+" NA "+" "+" NA 37 -531643.576391686 1063361.17125336 26732.1677167872 0
"212" 7.19791458592514 0.110413804180114 0.0033574342731904 NA NA "+" NA "+" "+" NA 37 -531668.928777389 1063411.87602476 26782.8724881927 0
"218" 6.59641689584738 0.102664512286777 NA NA 0.218681030687305 "+" NA "+" "+" NA 37 -531699.908905626 1063473.83628124 26844.8327446675 0
"221" 6.00858205533558 NA NA "+" 0.205166871019537 "+" NA "+" "+" NA 47 -531696.795102205 1063487.61984241 26858.6163058372 0
"32" 3.97477049616848 0.101195157746188 0.00320031775003808 "+" 0.236009268049095 "+" NA NA NA NA 19 -531733.334332415 1063504.67365613 26875.6701195575 0
"261" 3294.13223077106 NA NA "+" NA NA NA NA NA -1.62864551886351 14 -531792.818654662 1063613.64006758 26984.636531011 0
"155" 6.10714893434926 NA 0.00323140184992173 NA 0.239230437672599 "+" NA NA "+" NA 33 -531791.367161296 1063648.74906141 27019.7455248404 0
"157" 5.12367677462436 NA NA "+" 0.213419393265775 "+" NA NA "+" NA 43 -531796.711260794 1063679.44737692 27050.4438403458 0
"154" 5.7163673723435 0.103689585454313 NA NA 0.234051071968359 "+" NA NA "+" NA 33 -531838.669914649 1063743.35456812 27114.3510315465 0
"148" 6.04392967528136 0.112114537174229 0.00338548948922236 NA NA "+" NA NA "+" NA 33 -531890.125702869 1063846.26614456 27217.2626079863 0
"387" 3393.92859236517 NA 0.00341183548260808 NA NA NA NA NA "+" -1.68044960674249 30 -531928.022049235 1063916.0563149 27287.0527783262 0
"213" 6.36438144860858 NA NA "+" NA "+" NA "+" "+" NA 46 -531946.227043431 1063984.48248976 27355.4789531862 0
"95" 5.51154486009157 NA 0.00325078113755349 "+" 0.252170542312909 "+" NA "+" NA NA 22 -531989.608918826 1064023.22448409 27394.2209475194 0
"94" 4.96745414686816 0.103727460966593 NA "+" 0.247618850709839 "+" NA "+" NA NA 22 -532057.282216478 1064158.57107939 27529.5675428237 0
"149" 5.36208634997738 NA NA "+" NA "+" NA NA "+" NA 42 -532068.254758971 1064220.53324333 27591.5297067559 0
"31" 4.54749113006773 NA 0.00326208774000386 "+" 0.253821407588736 "+" NA NA NA NA 18 -532139.250338921 1064314.50516998 27685.5016334094 0
"217" 7.00165966209647 NA NA NA 0.238275389375815 "+" NA "+" "+" NA 36 -532130.514252971 1064333.04600371 27704.0424671371 0
"211" 7.69871087222207 NA 0.00344089016830114 NA NA "+" NA "+" "+" NA 36 -532171.301377138 1064414.62025204 27785.6167154717 0
"88" 5.30424348261806 0.113166689172385 0.00342478724723912 "+" NA "+" NA "+" NA NA 22 -532198.544640056 1064441.09592655 27812.0923899789 0
"30" 3.96091570955443 0.103497953713117 NA "+" 0.249479530372707 "+" NA NA NA NA 18 -532211.678761033 1064459.3620142 27830.3584776332 0
"210" 7.23520172861485 0.1133029499306 NA NA NA "+" NA "+" "+" NA 36 -532197.674934528 1064467.36736682 27838.3638302519 0
"153" 6.1063672829457 NA NA NA 0.253171649070178 "+" NA NA "+" NA 32 -532278.843795545 1064621.70146283 27992.6979262573 0
"92" 6.1311977497552 0.100583216099537 0.00319233487103278 NA 0.268063802301791 "+" NA "+" NA NA 12 -532306.976325602 1064637.95470017 28008.9511635976 0
"24" 4.26918478244581 0.112978780728921 0.00343935240778164 "+" NA "+" NA NA NA NA 18 -532358.711005118 1064753.42650237 28124.4229658039 0
"147" 6.49904760132343 NA 0.00346996856380415 NA NA "+" NA NA "+" NA 32 -532408.414724051 1064880.84331984 28251.8397832704 0
"146" 6.05537271064686 0.11500903864261 NA NA NA "+" NA NA "+" NA 32 -532426.29891859 1064916.61170892 28287.6081723475 0
"385" 3427.89811666634 NA NA NA NA NA NA NA "+" -1.6972897436237 29 -532472.551638542 1065003.11470528 28374.1111687084 0
"93" 5.52546475504642 NA NA "+" 0.266237705950016 "+" NA "+" NA NA 21 -532481.637039871 1065005.28014819 28376.2766116185 0
"28" 5.10516087962112 0.104117708447116 0.00320322621439572 NA 0.275219410680877 "+" NA NA NA NA 8 -532612.92724676 1065241.85543917 28612.8519026001 0
"29" 4.5466529352973 NA NA "+" 0.267971033258236 "+" NA NA NA NA 17 -532633.760489093 1065301.52499744 28672.5214608707 0
"87" 5.94731666313802 NA 0.00351547101289669 "+" NA "+" NA "+" NA NA 21 -532706.716958927 1065455.4399863 28826.4364497296 0
"91" 6.54033615559449 NA 0.00325021979545986 NA 0.288058361499146 "+" NA "+" NA NA 11 -532724.161324005 1065470.32438174 28841.3208451681 0
"209" 7.75038830382297 NA NA NA NA "+" NA "+" "+" NA 35 -532723.283031876 1065516.58261559 28887.5790790149 0
"86" 5.32635584235543 0.116389960605507 NA "+" NA "+" NA "+" NA NA 21 -532745.036775591 1065532.07961963 28903.076083059 0
"90" 6.13514754646929 0.102649375960833 NA NA 0.281067944025831 "+" NA "+" NA NA 11 -532779.422467593 1065580.84666891 28951.8431323438 0
"23" 4.93929222964311 NA 0.00352924637969885 "+" NA "+" NA NA NA NA 17 -532864.642357666 1065763.28873459 29134.2851980177 0
"22" 4.27236756079141 0.116190049719659 NA "+" NA "+" NA NA NA NA 17 -532908.747588874 1065851.499197 29222.4956604326 0
"145" 6.52283464566007 NA NA NA NA "+" NA NA "+" NA 31 -532968.133317373 1065998.27966569 29369.2761291177 0
"27" 5.50520122078022 NA 0.00326285713243179 NA 0.29636180276094 "+" NA NA NA NA 7 -533060.497910539 1066134.99655658 29505.9930200092 0
"268" 3488.58886084394 0.211746465299113 0.00262347639385935 NA 0.597434826091372 NA NA NA NA -1.72601578126948 6 -533068.950475054 1066149.90150173 29520.8979651588 0
"26" 5.1001368713022 0.106169861697441 NA NA 0.28831574423009 "+" NA NA NA NA 7 -533086.719614194 1066187.43996389 29558.4364273183 0
"89" 6.55291908941702 NA NA NA 0.301721561237867 "+" NA "+" NA NA 10 -533211.354366414 1066442.71017759 29813.7066410221 0
"85" 5.98884718067145 NA NA "+" NA "+" NA "+" NA NA 20 -533279.037335451 1066598.08018764 29969.0766510654 0
"266" 3514.2766190251 0.213642383261643 NA NA 0.608273301017067 NA NA NA NA -1.73876269908055 5 -533384.636545738 1066779.27348549 30150.2699489184 0
"21" 4.96211987894333 NA NA "+" NA "+" NA NA NA NA 16 -533440.302404085 1066912.60838082 30283.6048442465 0
"208" 6.81095867626559 0.112354809402608 0.00320092697724056 "+" 0.452255975736517 NA NA "+" "+" NA 46 -533422.304715831 1066936.63783456 30307.6342979872 0
"25" 5.50811630673864 NA NA NA 0.310131461292392 "+" NA NA NA NA 6 -533549.344452073 1067110.68945577 30481.6859191975 0
"144" 5.76879864706384 0.111391177020929 0.00320866754432822 "+" 0.461562728694592 NA NA NA "+" NA 42 -533569.946398661 1067223.91652271 30594.9129861358 0
"84" 6.51703610292617 0.12884292870783 0.00370725414832743 NA NA "+" NA "+" NA NA 11 -533866.643759503 1067755.28925273 31126.2857161639 0
"206" 6.8141950307361 0.114671577922606 NA "+" 0.466156716588552 NA NA "+" "+" NA 45 -533890.293728175 1067870.61465043 31241.6111138619 0
"207" 7.36143258164917 NA 0.0032692348536539 "+" 0.478896305218683 NA NA "+" "+" NA 45 -533906.580999029 1067903.18919214 31274.1856555701 0
"142" 5.759967625219 0.113676209366099 NA "+" 0.47562385264322 NA NA NA "+" NA 41 -534039.30837679 1068160.63937531 31531.6358387396 0
"143" 6.41049146500624 NA 0.00327550945372211 "+" 0.487123536752353 NA NA NA "+" NA 41 -534046.56365258 1068175.14992689 31546.1463903191 0
"20" 5.32252812349912 0.133743925509645 0.00373647946466522 NA NA "+" NA NA NA NA 7 -534257.73815665 1068529.4770488 31900.4735122304 0
"205" 7.37633761828341 NA NA "+" 0.493661234525499 NA NA "+" "+" NA 44 -534391.820439567 1068871.66689069 32242.663354123 0
"82" 6.54356725901245 0.132865880627204 NA NA NA "+" NA "+" NA NA 10 -534495.151018445 1069010.30348165 32381.2999450834 0
"83" 7.08999761320256 NA 0.00383324060290618 NA NA "+" NA "+" NA NA 10 -534550.460263368 1069120.9219715 32491.91843493 0
"141" 6.41491600498174 NA NA "+" 0.502019209581619 NA NA NA "+" NA 40 -534532.786301977 1069145.59414832 32516.5906117456 0
"18" 5.32878264090663 0.137814408005572 NA NA NA "+" NA NA NA NA 6 -534892.995250354 1069797.99105233 33168.987515759 0
"267" 3418.7989709245 NA 0.00276429715513553 NA 0.666995365546481 NA NA NA NA -1.6908616110112 5 -534942.171708029 1069894.34381007 33265.3402735004 0
"19" 5.86981063161503 NA 0.0038685866661818 NA NA "+" NA NA NA NA 6 -534995.217110918 1070002.43477346 33373.4312368869 0
"200" 7.73803380851145 0.134645844076777 0.00354386585568889 "+" NA NA NA "+" "+" NA 45 -535041.253517541 1070172.53422916 33543.5306925932 0
"81" 7.13597712904266 NA NA NA NA "+" NA "+" NA NA 9 -535216.944778805 1070451.89073968 33822.8872031101 0
"265" 3445.21985248379 NA NA NA 0.679077682800085 NA NA NA NA -1.70396738998743 4 -535284.245432204 1070576.49112708 33947.4875905102 0
"136" 6.30620241230705 0.133511974106838 0.00356462879567815 "+" NA NA NA NA "+" NA 41 -535265.422306125 1070612.86723398 33983.8636974094 0
"80" 10.4999934928983 0.117696237762259 0.00320116402468784 "+" 0.462465139253675 NA NA "+" NA NA 20 -535386.877531771 1070813.76058028 34184.7570437058 0
"324" 3475.78940928484 0.256998793065076 0.00369963000927075 NA NA NA NA "+" NA -1.71714438884418 9 -535559.802818396 1071137.60681886 34508.6032822935 0
"204" 7.0570275440018 0.138491274741708 0.00317739145058587 NA 0.460277988457294 NA NA "+" "+" NA 35 -535555.79328168 1071181.60311519 34552.5995786225 0
"198" 7.77328083887632 0.137980357712606 NA "+" NA NA NA "+" "+" NA 44 -535604.327795798 1071296.68160316 34667.6780665852 0
"17" 5.89355723096985 NA NA NA NA "+" NA NA NA NA 5 -535670.17521371 1071350.35082143 34721.3472848628 0
"16" 9.17217363308418 0.118100689140854 0.00321726078740512 "+" 0.472206586990529 NA NA NA NA NA 16 -535671.679106116 1071375.36178488 34746.3582483097 0
"199" 8.47173984596922 NA 0.00365118897790385 "+" NA NA NA "+" "+" NA 44 -535729.248743242 1071546.52349804 34917.5199614735 0
"78" 10.5049072884251 0.120024826876758 NA "+" 0.475964192158154 NA NA "+" NA NA 19 -535843.085222236 1071724.17543577 35095.1718992002 0
"134" 6.3146078831658 0.136810300529641 NA "+" NA NA NA NA "+" NA 40 -535833.496407061 1071747.01435848 35118.0108219141 0
"79" 11.144843181248 NA 0.00327413494539403 "+" 0.491838556539487 NA NA "+" NA NA 19 -535912.261390492 1071862.52777228 35233.5242357114 0
"135" 7.1199468809301 NA 0.00366952561961628 "+" NA NA NA NA "+" NA 40 -535941.61557177 1071963.2526879 35334.2491513321 0
"202" 7.05392867850941 0.140588526944633 NA NA 0.473411539109763 NA NA "+" "+" NA 34 -536004.31241919 1072076.64047056 35447.6369339924 0
"14" 9.16276651873007 0.120420389213333 NA "+" 0.485841273767132 NA NA NA NA NA 15 -536130.793399942 1072291.5899522 35662.5864156282 0
"322" 3512.52721514339 0.262254703536502 NA NA NA NA NA "+" NA -1.73532994323258 8 -536171.982376702 1072359.96569905 35730.9621624837 0
"15" 9.83747816454407 NA 0.0032899301491866 "+" 0.501877722578696 NA NA NA NA NA 15 -536199.407669373 1072428.81849106 35799.8149544918 0
"140" 5.0579901111975 0.147298631931479 0.00318182726918147 NA 0.513269048436176 NA NA NA "+" NA 31 -536207.132062708 1072476.27715636 35847.273619788 0
"203" 7.6415269437108 NA 0.00325848052795054 NA 0.501635809952824 NA NA "+" "+" NA 34 -536310.140067877 1072688.29576794 36059.2922313663 0
"197" 8.52681616401128 NA NA "+" NA NA NA "+" "+" NA 43 -536321.897028184 1072729.8189117 36100.8153751246 0
"77" 11.162926148485 NA NA "+" 0.50624621238812 NA NA "+" NA NA 18 -536386.381129128 1072808.76675039 36179.7632138235 0
"133" 7.149315653246 NA NA "+" NA NA NA NA "+" NA 39 -536538.613266919 1073155.24702712 36526.2434905502 0
"138" 5.04944757606887 0.149375963192216 NA NA 0.526588735317985 NA NA NA "+" NA 30 -536653.094111196 1073366.20043882 36737.1969022485 0
"13" 9.84122311701802 NA NA "+" 0.516422789341108 NA NA NA NA NA 14 -536676.336406268 1073380.67557079 36751.6720342229 0
"201" 7.64742857472317 NA NA NA 0.515752281665548 NA NA "+" "+" NA 33 -536777.317475331 1073620.64968948 36991.6461529117 0
"139" 5.57939130050551 NA 0.00326784122358095 NA 0.559903895202869 NA NA NA "+" NA 30 -537059.686234991 1074179.38468641 37550.3811498384 0
"137" 5.57816939502698 NA NA NA 0.57426459005475 NA NA NA "+" NA 29 -537524.966179907 1075107.94378801 38478.9402514386 0
"196" 8.92782375267965 0.181256869757662 0.00370247778730691 NA NA NA NA "+" "+" NA 34 -538117.518932503 1076303.05349719 39674.0499606186 0
"323" 3394.93745975189 NA 0.00404272245771072 NA NA NA NA "+" NA -1.67604480847858 8 -538297.162676616 1076610.32629888 39981.3227623117 0
"72" 11.8427339521143 0.161813256158934 0.00383651242509457 "+" NA NA NA "+" NA NA 19 -538436.306051447 1076910.61709419 40281.6135576221 0
"194" 8.98669320633141 0.18514095278077 NA NA NA NA NA "+" "+" NA 33 -538708.615970062 1077483.24667894 40854.2431423732 0
"8" 10.1731050363112 0.163723511227334 0.00387402979901494 "+" NA NA NA NA NA NA 15 -538859.695779334 1077749.39471098 41120.391174414 0
"321" 3433.3482131854 NA NA NA NA NA NA "+" NA -1.6950343706349 7 -539003.241640844 1078020.48401719 41391.480480619 0
"70" 11.8959036882822 0.166172596374534 NA "+" NA NA NA "+" NA NA 18 -539068.786266808 1078173.57702576 41544.5734891847 0
"76" 12.8161640254016 0.153551803095936 0.00320017471648363 NA 0.480190787813272 NA NA "+" NA NA 9 -539287.320995656 1078592.64317338 41963.6396368123 0
"71" 12.8710309406673 NA 0.00399611573579954 "+" NA NA NA "+" NA NA 18 -539410.776210839 1078857.55691382 42228.553377246 0
"195" 9.94093143446584 NA 0.00387514835602348 NA NA NA NA "+" "+" NA 33 -539398.138596325 1078862.29193147 42233.2883948991 0
"6" 10.1967179380203 0.168128971727926 NA "+" NA NA NA NA NA NA 14 -539501.108618623 1079030.2199955 42401.2164589339 0
"132" 5.67766972062169 0.201487641980504 0.00382267940547086 NA NA NA NA NA "+" NA 30 -539601.710382632 1079263.43298169 42634.4294451212 0
"74" 12.8214581407051 0.155629895803647 NA NA 0.493281249689225 NA NA "+" NA NA 8 -539720.614073339 1079457.22909233 42828.2255557587 0
"7" 11.2077231155548 NA 0.00403591127489054 "+" NA NA NA NA NA NA 14 -539853.463583695 1079734.92992565 43105.9263890774 0
"193" 10.0253526648761 NA NA NA NA NA NA "+" "+" NA 32 -540035.299230912 1080134.61233356 43505.6087969919 0
"69" 12.9553624861658 NA NA "+" NA NA NA "+" NA NA 17 -540088.805845454 1080211.61571016 43582.6121735938 0
"75" 13.7065560425891 NA 0.00329037889127146 NA 0.522067805594833 NA NA "+" NA NA 8 -540187.010525507 1080390.02199666 43761.0184600935 0
"130" 5.68677423289804 0.205694832278394 NA NA NA NA NA NA "+" NA 29 -540219.873382865 1080497.75819393 43868.7546573547 0
"5" 11.261385787711 NA NA "+" NA NA NA NA NA NA 13 -540541.138619573 1081108.27962962 44479.276093049 0
"73" 13.7243959665767 NA NA NA 0.536115327908028 NA NA "+" NA NA 7 -540639.808682397 1081293.6181003 44664.6145637259 0
"131" 6.4952304055139 NA 0.00402680737386349 NA NA NA NA NA "+" NA 29 -541172.688380528 1082403.38818925 45774.3846526816 0
"129" 6.52283464566664 NA NA NA NA NA NA NA "+" NA 28 -541845.135364532 1083746.28139531 47117.2778587386 0
"12" 10.0008052450843 0.188451822220126 0.00325085765218339 NA 0.608378506871571 NA NA NA NA NA 5 -542679.617190547 1085369.23477511 48740.231238537 0
"260" 3556.29905652885 0.349023797558318 0.00421221047942932 NA NA NA NA NA NA -1.75860846310533 5 -542957.798706551 1085925.59780711 49296.5942705439 0
"10" 9.99807229588092 0.190591736058714 NA NA 0.621932994650205 NA NA NA NA NA 4 -543107.306690646 1086222.61364397 49593.6101073944 0
"258" 3599.9952193402 0.35614469761922 NA NA NA NA NA NA NA -1.7802619556216 4 -543678.506898689 1087365.01406005 50736.0105234818 0
"11" 10.9457161093254 NA 0.00336507006797999 NA 0.670226763197823 NA NA NA NA NA 4 -543995.178510029 1087998.35728273 51369.3537461604 0
"9" 10.9539970934688 NA NA NA 0.68499032591164 NA NA NA NA NA 3 -544445.710276043 1088897.42070969 52268.4171731176 0
"68" 15.4964090357018 0.23569979749276 0.00431482314502916 NA NA NA NA "+" NA NA 8 -544646.137804321 1089308.27655429 52679.2730177215 0
"66" 15.6030755473994 0.241576959858739 NA NA NA NA NA "+" NA NA 7 -545385.851552702 1090785.70384091 54156.7003043348 0
"67" 17.3063837100885 NA 0.0046165758341815 NA NA NA NA "+" NA NA 7 -546702.861475062 1093419.72368563 56790.7201490558 0
"65" 17.4690814052742 NA NA NA NA NA NA "+" NA NA 6 -547528.063824652 1095068.12820093 58439.1246643565 0
"259" 3445.92703732634 NA 0.00479307639094969 NA NA NA NA NA NA -1.70269822425153 4 -547701.357063395 1095410.71438946 58781.7108528938 0
"257" 3493.21960231307 NA NA NA NA NA NA NA NA -1.72610559820377 3 -548579.742874909 1097165.48590742 60536.4823708509 0
"4" 12.0619424105563 0.327844051492171 0.00488132176529459 NA NA NA NA NA NA NA 4 -551769.771359684 1103547.54298204 66918.5394454715 0
"2" 12.1275249871964 0.335809480249378 NA NA NA NA NA NA NA NA 3 -552632.744232053 1105271.48862171 68642.4850851388 0
"3" 14.2335998145472 NA 0.0054079734228327 NA NA NA NA NA NA NA 3 -555529.347080091 1111064.69431778 74435.6907812138 0
"1" 14.3650589355411 NA NA NA NA NA NA NA NA NA 2 -556539.222931314 1113082.44594143 76453.4424048585 0
