"(Intercept)" "auth_count" "citations" "field" "IF_5Y_2019" "JIFquant" "journal" "OAlab" "publisher" "year" "df" "logLik" "AICc" "delta" "weight"
"374" 3509.80357993035 0.125323433566441 NA "+" NA "+" "+" "+" NA -1.73856160339719 168 -518503.144529685 1037342.66235343 713.658816864132 6.71176828426958e-157
"502" 3509.80357993035 0.125323433566441 NA "+" NA "+" "+" "+" "+" -1.73856160339719 168 -518503.144529685 1037342.66235343 713.658816864132 6.71176828426958e-157
"302" 3442.33746605157 0.128048508908615 NA "+" 3.02030670619457 NA "+" NA NA -1.70669356989006 164 -518801.701286923 1037931.75834561 1302.75480903464 8.05874843905858e-285
"430" 3442.33746605157 0.128048508908615 NA "+" 3.02030670619457 NA "+" NA "+" -1.70669356989006 164 -518801.701286923 1037931.75834561 1302.75480903464 8.05874843905858e-285
"318" 3440.7954220824 0.128048508908644 NA "+" 3.02030670496203 "+" "+" NA NA -1.70669356989006 164 -518801.701286924 1037931.75834561 1302.75480903545 8.05874843577502e-285
"446" 3440.7954220824 0.128048508908644 NA "+" 3.02030670496203 "+" "+" NA "+" -1.70669356989006 164 -518801.701286924 1037931.75834561 1302.75480903545 8.05874843577502e-285
"298" 3441.65238759795 0.128048508908632 NA NA 3.02030669903111 NA "+" NA NA -1.70669356989006 164 -518801.701286924 1037931.75834561 1302.75480903592 8.05874843389869e-285
"426" 3441.65238759795 0.128048508908632 NA NA 3.02030669903111 NA "+" NA "+" -1.70669356989006 164 -518801.701286924 1037931.75834561 1302.75480903592 8.05874843389869e-285
"306" 3445.56066446608 0.128048508908473 NA NA NA "+" "+" NA NA -1.70669356988982 164 -518801.701286924 1037931.75834561 1302.75480903627 8.05874843249145e-285
"314" 3441.65238759957 0.128048508908524 NA NA 3.02030669803879 "+" "+" NA NA -1.70669356989017 164 -518801.701286924 1037931.75834561 1302.75480903627 8.05874843249145e-285
"434" 3445.56066446608 0.128048508908473 NA NA NA "+" "+" NA "+" -1.70669356988982 164 -518801.701286924 1037931.75834561 1302.75480903627 8.05874843249145e-285
"442" 3441.65238759957 0.128048508908524 NA NA 3.02030669803879 "+" "+" NA "+" -1.70669356989017 164 -518801.701286924 1037931.75834561 1302.75480903627 8.05874843249145e-285
"290" 3445.56066446641 0.12804850890831 NA NA NA NA "+" NA NA -1.70669356988998 164 -518801.701286924 1037931.75834561 1302.75480903732 8.05874842826972e-285
"294" 3450.64330949361 0.128048508908591 NA "+" NA NA "+" NA NA -1.70669356989007 164 -518801.701286924 1037931.75834561 1302.75480903732 8.05874842826972e-285
"418" 3445.56066446641 0.12804850890831 NA NA NA NA "+" NA "+" -1.70669356988998 164 -518801.701286924 1037931.75834561 1302.75480903732 8.05874842826972e-285
"422" 3450.64330949361 0.128048508908591 NA "+" NA NA "+" NA "+" -1.70669356989007 164 -518801.701286924 1037931.75834561 1302.75480903732 8.05874842826972e-285
"310" 3444.19024681919 0.128048508908644 NA "+" NA "+" "+" NA NA -1.70669356988992 164 -518801.701286925 1037931.75834561 1302.7548090379 8.05874842592432e-285
"438" 3444.19024681919 0.128048508908644 NA "+" NA "+" "+" NA "+" -1.70669356988992 164 -518801.701286925 1037931.75834561 1302.7548090379 8.05874842592432e-285
"375" 3444.43447324144 NA 0.00261975621423817 "+" NA "+" "+" "+" NA -1.70580506827298 168 -518832.252271915 1038000.87783789 1371.8743013239 7.89151801924137e-300
"503" 3444.43447324144 NA 0.00261975621423817 "+" NA "+" "+" "+" "+" -1.70580506827298 168 -518832.252271915 1038000.87783789 1371.8743013239 7.89151801924137e-300
"359" 3450.46658475268 NA 0.00261975621423821 "+" NA NA "+" "+" NA -1.705805068273 168 -518832.252271915 1038000.87783789 1371.87430132413 7.89151801832268e-300
"487" 3450.46658475268 NA 0.00261975621423821 "+" NA NA "+" "+" "+" -1.705805068273 168 -518832.252271915 1038000.87783789 1371.87430132413 7.89151801832268e-300
"371" 3445.05833217811 NA 0.00261975621423991 NA NA "+" "+" "+" NA -1.7058050682731 168 -518832.252271915 1038000.8778379 1371.87430132471 7.89151801602594e-300
"499" 3445.05833217811 NA 0.00261975621423991 NA NA "+" "+" "+" "+" -1.7058050682731 168 -518832.252271915 1038000.8778379 1371.87430132471 7.89151801602594e-300
"363" 3441.6611329491 NA 0.002619756214242 NA 2.62534716301015 NA "+" "+" NA -1.705805068273 168 -518832.252271915 1038000.8778379 1371.87430132495 7.89151801510725e-300
"491" 3441.6611329491 NA 0.002619756214242 NA 2.62534716301015 NA "+" "+" "+" -1.705805068273 168 -518832.252271915 1038000.8778379 1371.87430132495 7.89151801510725e-300
"355" 3445.05833217807 NA 0.00261975621424046 NA NA NA "+" "+" NA -1.70580506827307 168 -518832.252271915 1038000.8778379 1371.87430132518 7.89151801418856e-300
"379" 3441.66113295048 NA 0.0026197562142419 NA 2.62534716203531 "+" "+" "+" NA -1.70580506827301 168 -518832.252271915 1038000.8778379 1371.87430132518 7.89151801418856e-300
"483" 3445.05833217807 NA 0.00261975621424046 NA NA NA "+" "+" "+" -1.70580506827307 168 -518832.252271915 1038000.8778379 1371.87430132518 7.89151801418856e-300
"507" 3441.66113295048 NA 0.0026197562142419 NA 2.62534716203531 "+" "+" "+" "+" -1.70580506827301 168 -518832.252271915 1038000.8778379 1371.87430132518 7.89151801418856e-300
"367" 3443.24688006717 NA 0.00261975621424517 "+" 2.62534715845336 NA "+" "+" NA -1.70580506827311 168 -518832.252271916 1038000.8778379 1371.87430132576 7.89151801189182e-300
"495" 3443.24688006717 NA 0.00261975621424517 "+" 2.62534715845336 NA "+" "+" "+" -1.70580506827311 168 -518832.252271916 1038000.8778379 1371.87430132576 7.89151801189182e-300
"383" 3441.48358303708 NA 0.00261975621424445 "+" 2.6253471575872 "+" "+" "+" NA -1.70580506827302 168 -518832.252271916 1038000.8778379 1371.874301326 7.89151801097313e-300
"511" 3441.48358303708 NA 0.00261975621424445 "+" 2.6253471575872 "+" "+" "+" "+" -1.70580506827302 168 -518832.252271916 1038000.8778379 1371.874301326 7.89151801097313e-300
"311" 3372.35652110205 NA 0.00262767616542543 "+" NA "+" "+" NA NA -1.67069221883686 164 -519159.601655648 1038647.55908305 2018.55554648384 0
"439" 3372.35652110205 NA 0.00262767616542543 "+" NA "+" "+" NA "+" -1.67069221883686 164 -519159.601655648 1038647.55908305 2018.55554648384 0
"295" 3378.85108559058 NA 0.00262767616542559 "+" NA NA "+" NA NA -1.67069221883676 164 -519159.601655648 1038647.55908305 2018.55554648407 0
"423" 3378.85108559058 NA 0.00262767616542559 "+" NA NA "+" NA "+" -1.67069221883676 164 -519159.601655648 1038647.55908305 2018.55554648407 0
"307" 3373.45200236642 NA 0.00262767616542744 NA NA "+" "+" NA NA -1.67069221883662 164 -519159.601655648 1038647.55908306 2018.55554648465 0
"435" 3373.45200236642 NA 0.00262767616542744 NA NA "+" "+" NA "+" -1.67069221883662 164 -519159.601655648 1038647.55908306 2018.55554648465 0
"291" 3373.45200236671 NA 0.00262767616542794 NA NA NA "+" NA NA -1.67069221883676 164 -519159.601655648 1038647.55908306 2018.55554648524 0
"299" 3369.55616719094 NA 0.00262767616542977 NA 3.01069178978549 NA "+" NA NA -1.67069221883681 164 -519159.601655648 1038647.55908306 2018.55554648524 0
"315" 3369.55616719218 NA 0.00262767616542964 NA 3.01069178893181 "+" "+" NA NA -1.67069221883683 164 -519159.601655648 1038647.55908306 2018.55554648524 0
"419" 3373.45200236671 NA 0.00262767616542794 NA NA NA "+" NA "+" -1.67069221883676 164 -519159.601655648 1038647.55908306 2018.55554648524 0
"427" 3369.55616719094 NA 0.00262767616542977 NA 3.01069178978549 NA "+" NA "+" -1.67069221883681 164 -519159.601655648 1038647.55908306 2018.55554648524 0
"443" 3369.55616719218 NA 0.00262767616542964 NA 3.01069178893181 "+" "+" NA "+" -1.67069221883683 164 -519159.601655648 1038647.55908306 2018.55554648524 0
"303" 3370.57168318172 NA 0.00262767616543355 "+" 3.01069178519638 NA "+" NA NA -1.67069221883697 164 -519159.601655649 1038647.55908306 2018.55554648605 0
"431" 3370.57168318172 NA 0.00262767616543355 "+" 3.01069178519638 NA "+" NA "+" -1.67069221883697 164 -519159.601655649 1038647.55908306 2018.55554648605 0
"319" 3368.97250353712 NA 0.00262767616543263 "+" 3.01069178442223 "+" "+" NA NA -1.67069221883689 164 -519159.601655649 1038647.55908306 2018.55554648628 0
"447" 3368.97250353712 NA 0.00262767616543263 "+" 3.01069178442223 "+" "+" NA "+" -1.67069221883689 164 -519159.601655649 1038647.55908306 2018.55554648628 0
"357" 3475.81982808097 NA NA "+" NA NA "+" "+" NA -1.71835879270745 167 -519211.356430698 1038757.08173536 2128.07819878426 0
"485" 3475.81982808097 NA NA "+" NA NA "+" "+" "+" -1.71835879270745 167 -519211.356430698 1038757.08173536 2128.07819878426 0
"381" 3466.80115420361 NA NA "+" 2.64551072151794 "+" "+" "+" NA -1.7183587927071 167 -519211.356430698 1038757.08173536 2128.0781987845 0
"509" 3466.80115420361 NA NA "+" 2.64551072151794 "+" "+" "+" "+" -1.7183587927071 167 -519211.356430698 1038757.08173536 2128.0781987845 0
"369" 3470.39218724194 NA NA NA NA "+" "+" "+" NA -1.71835879270733 167 -519211.356430699 1038757.08173536 2128.07819878531 0
"497" 3470.39218724194 NA NA NA NA "+" "+" "+" "+" -1.71835879270733 167 -519211.356430699 1038757.08173536 2128.07819878531 0
"365" 3468.54467362705 NA NA "+" 2.64551071037056 NA "+" "+" NA -1.71835879270726 167 -519211.356430699 1038757.08173536 2128.07819878589 0
"377" 3466.96889637099 NA NA NA 2.64551071947865 "+" "+" "+" NA -1.71835879270756 167 -519211.356430699 1038757.08173536 2128.07819878589 0
"493" 3468.54467362705 NA NA "+" 2.64551071037056 NA "+" "+" "+" -1.71835879270726 167 -519211.356430699 1038757.08173536 2128.07819878589 0
"505" 3466.96889637099 NA NA NA 2.64551071947865 "+" "+" "+" "+" -1.71835879270756 167 -519211.356430699 1038757.08173536 2128.07819878589 0
"361" 3466.96889637184 NA NA NA 2.64551071875158 NA "+" "+" NA -1.71835879270748 167 -519211.356430699 1038757.08173536 2128.07819878613 0
"489" 3466.96889637184 NA NA NA 2.64551071875158 NA "+" "+" "+" -1.71835879270748 167 -519211.356430699 1038757.08173536 2128.07819878613 0
"353" 3470.39218724308 NA NA NA NA NA "+" "+" NA -1.71835879270791 167 -519211.356430699 1038757.08173536 2128.07819878694 0
"481" 3470.39218724308 NA NA NA NA NA "+" "+" "+" -1.71835879270791 167 -519211.356430699 1038757.08173536 2128.07819878694 0
"373" 3469.77470825718 NA NA "+" NA "+" "+" "+" NA -1.71835879270806 167 -519211.3564307 1038757.08173536 2128.07819878729 0
"501" 3469.77470825718 NA NA "+" NA "+" "+" "+" "+" -1.71835879270806 167 -519211.3564307 1038757.08173536 2128.07819878729 0
"317" 3394.42830777816 NA NA "+" 3.03220974388202 "+" "+" NA NA -1.68332583982283 163 -519539.379634904 1039405.11072687 2776.10719030129 0
"445" 3394.42830777816 NA NA "+" 3.03220974388202 "+" "+" NA "+" -1.68332583982283 163 -519539.379634904 1039405.11072687 2776.10719030129 0
"293" 3404.35169190813 NA NA "+" NA NA "+" NA NA -1.68332583982306 163 -519539.379634904 1039405.11072687 2776.10719030153 0
"421" 3404.35169190813 NA NA "+" NA NA "+" NA "+" -1.68332583982306 163 -519539.379634904 1039405.11072687 2776.10719030153 0
"305" 3398.93291668105 NA NA NA NA "+" "+" NA NA -1.68332583982273 163 -519539.379634905 1039405.11072687 2776.10719030257 0
"433" 3398.93291668105 NA NA NA NA "+" "+" NA "+" -1.68332583982273 163 -519539.379634905 1039405.11072687 2776.10719030257 0
"313" 3395.00923727615 NA NA NA 3.03220974133861 "+" "+" NA NA -1.68332583982313 163 -519539.379634905 1039405.11072687 2776.10719030292 0
"441" 3395.00923727615 NA NA NA 3.03220974133861 "+" "+" NA "+" -1.68332583982313 163 -519539.379634905 1039405.11072687 2776.10719030292 0
"301" 3396.0131151435 NA NA "+" 3.03220973287065 NA "+" NA NA -1.68332583982345 163 -519539.379634905 1039405.11072687 2776.10719030316 0
"429" 3396.0131151435 NA NA "+" 3.03220973287065 NA "+" NA "+" -1.68332583982345 163 -519539.379634905 1039405.11072687 2776.10719030316 0
"297" 3395.00923727737 NA NA NA 3.0322097404629 NA "+" NA NA -1.68332583982313 163 -519539.379634905 1039405.11072687 2776.10719030339 0
"425" 3395.00923727737 NA NA NA 3.0322097404629 NA "+" NA "+" -1.68332583982313 163 -519539.379634905 1039405.11072687 2776.10719030339 0
"289" 3398.93291668134 NA NA NA NA NA "+" NA NA -1.68332583982289 163 -519539.379634905 1039405.11072687 2776.10719030397 0
"417" 3398.93291668134 NA NA NA NA NA "+" NA "+" -1.68332583982289 163 -519539.379634905 1039405.11072687 2776.10719030397 0
"309" 3397.83651153248 NA NA "+" NA "+" "+" NA NA -1.68332583982356 163 -519539.379634906 1039405.11072688 2776.1071903042 0
"437" 3397.83651153248 NA NA "+" NA "+" "+" NA "+" -1.68332583982356 163 -519539.379634906 1039405.11072688 2776.1071903042 0
"480" 3439.01659008402 0.12592343517255 0.00256989889475666 "+" 0.174006013451699 "+" NA "+" "+" -1.70343672204485 50 -520107.867286429 1040315.76807391 3686.76453734376 0
"472" 3439.89826156815 0.129889037511054 0.00266422955371207 "+" NA "+" NA "+" "+" -1.70373519073911 49 -520315.603469953 1040729.23912699 4100.23559041519 0
"416" 3393.53405196706 0.12717248867702 0.00257560433709638 "+" 0.171834574138921 "+" NA NA "+" -1.68113625182104 46 -520328.619192555 1040749.26678801 4120.26325143455 0
